Slide Event                                     File                               Size
21    Welcoming-AmitShah                        slide21_Welcoming-AmitShah/img01.jpeg1.95x2.19
21    Welcoming-AmitShah                        slide21_Welcoming-AmitShah/img02.png6.71x5.8
22    AKR-Trust-AnnualWelfareFunction           slide22_AKR-Trust-AnnualWelfareFunction/img01.png3.48x3.28
22    AKR-Trust-AnnualWelfareFunction           slide22_AKR-Trust-AnnualWelfareFunction/img02.png2.2x2.17
22    AKR-Trust-AnnualWelfareFunction           slide22_AKR-Trust-AnnualWelfareFunction/img03.png2.78x3.28
23    Birthday-Celebration-Karunagarajan-Priya  slide23_Birthday-Celebration-Karunagarajan-Priya/img01.png3.53x2.58
23    Birthday-Celebration-Karunagarajan-Priya  slide23_Birthday-Celebration-Karunagarajan-Priya/img02.png6.11x3.79
23    Birthday-Celebration-Karunagarajan-Priya  slide23_Birthday-Celebration-Karunagarajan-Priya/img03.png3.55x2.58
24    Media-Coverage-1                          slide24_Media-Coverage-1/img01.png 2.66x4.4
24    Media-Coverage-1                          slide24_Media-Coverage-1/img02.png 3.92x1.89
24    Media-Coverage-1                          slide24_Media-Coverage-1/img03.png 3.92x2.19
24    Media-Coverage-1                          slide24_Media-Coverage-1/img04.png 3.93x2.48
24    Media-Coverage-1                          slide24_Media-Coverage-1/img05.png 2.47x1.86
25    Media-Coverage-2                          slide25_Media-Coverage-2/img01.png 3.54x1.92
25    Media-Coverage-2                          slide25_Media-Coverage-2/img02.png 2.55x1.92
25    Media-Coverage-2                          slide25_Media-Coverage-2/img03.png 3.36x2.4
25    Media-Coverage-2                          slide25_Media-Coverage-2/img04.png 6.63x2.99
25    Media-Coverage-2                          slide25_Media-Coverage-2/img05.png 3.2x2.4
